Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Absolute Cosine Similarity,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
41,UNO,42.0,UNO,UNO,50712.9296875,1461.692626953125,0.4801271557807922,0.0122565133497118,22232.001953125,-117901536.0,20563.66796875,51788.75390625,-0.1107091382145881,0.1107091382145881,144345.65625,868.6829223632812,409.55474853515625,0.4057237803936004,0.4057237803936004,0.0282550081610679,0.9717450141906738,1.0067844169971067,0.0859375,0.03125,0.1171875,0.1328125,0.09375,0.0234375,0.1171875,0.0703125,0.203125,0.125,0.96875
42,UNO,43.0,UNO,UNO,49235.9296875,1451.999267578125,0.4445212483406067,0.0135188428685069,21997.779296875,-171712672.0,35069.40234375,42111.83984375,-0.1162705570459365,0.1162705570459365,144258.09375,878.3440551757812,404.1851501464844,0.4063453078269958,0.4063453078269958,0.0258041396737098,0.9741958379745485,0.9280322089907712,0.09375,0.03125,0.1171875,0.1328125,0.0859375,0.0234375,0.109375,0.0703125,0.203125,0.1328125,0.96875
43,UNO,44.0,UNO,UNO,49349.6953125,1447.6187744140625,0.4192591309547424,2.49199320023763e-06,21198.5703125,960651.5,11048.7333984375,55078.4765625,0.0015786048024892,0.0015786048024892,166219.09375,946.2794189453124,456.6229553222656,0.3846837282180786,0.3846837282180786,0.0240092612802982,0.9759907126426696,1.0143380409863312,0.09375,0.03125,0.1171875,0.1328125,0.078125,0.0234375,0.109375,0.0703125,0.203125,0.140625,0.96875
44,UNO,45.0,UNO,UNO,49463.8203125,1471.923095703125,0.4018959999084472,0.0007230610935948,21422.013671875,24912168.0,17308.673828125,53525.4375,0.0268897954374551,0.0268897954374551,155495.953125,921.1087036132812,474.3701171875,0.3558696210384369,0.3558696210384369,0.0228426251560449,0.9771573543548584,1.0097068329923786,0.09375,0.03125,0.1171875,0.1328125,0.078125,0.0234375,0.109375,0.0703125,0.203125,0.140625,0.96875
45,UNO,46.0,UNO,UNO,48228.71875,1465.566162109375,0.4011654555797577,0.0669050365686416,20541.947265625,223502416.0,13946.892578125,61954.85546875,0.258660078048706,0.258660078048706,141819.328125,913.973388671875,470.1183776855469,0.3300613164901733,0.3300613164901733,0.0229016318917274,0.9770983457565308,0.928005249996204,0.09375,0.03125,0.1171875,0.1484375,0.078125,0.0234375,0.109375,0.0703125,0.1875,0.140625,0.96875
46,UNO,47.0,UNO,UNO,49292.8515625,1448.337158203125,0.4086705446243286,0.0159958973526954,21192.396484375,-151113968.0,27408.724609375,43592.46484375,-0.1264748871326446,0.1264748871326446,126079.6015625,864.2424926757812,482.7268676757813,0.3022092580795288,0.3022092580795288,0.02353978715837,0.9764602184295654,0.9125609589973463,0.09375,0.03125,0.1171875,0.1484375,0.078125,0.0234375,0.109375,0.0703125,0.1875,0.140625,0.96875
47,UNO,48.0,UNO,UNO,49734.2421875,1433.2230224609375,0.4155282080173492,0.0039518065750598,21904.8671875,-63053176.0,24092.009765625,41632.83984375,-0.0628633946180343,0.0628633946180343,113433.1796875,836.4471435546875,476.61663818359375,0.2845328450202942,0.2845328450202942,0.0240716561675071,0.9759283661842346,0.9820197090157308,0.09375,0.03125,0.1171875,0.1484375,0.078125,0.0234375,0.109375,0.0703125,0.1875,0.140625,0.96875
48,UNO,49.0,UNO,UNO,50918.078125,1452.317138671875,0.4112046658992767,0.0222983080893754,22801.431640625,208512016.0,27289.94921875,51167.2890625,0.1493261754512787,0.1493261754512787,101323.5234375,773.2989501953125,450.4701232910156,0.2908686399459839,0.2908686399459839,0.0238395147025585,0.97616046667099,0.9338624170050024,0.09375,0.03125,0.109375,0.15625,0.078125,0.0234375,0.109375,0.0703125,0.1875,0.140625,0.96875
49,UNO,50.0,UNO,UNO,48691.44140625,1440.06396484375,0.4114475548267364,0.0119247315451502,20793.0703125,122641704.0,27073.474609375,41482.97265625,0.1092004179954528,0.1092004179954528,99588.828125,710.9849853515625,432.260498046875,0.3240444660186767,0.3240444660186767,0.0240504033863544,0.9759495854377748,0.9214344999927562,0.09375,0.03125,0.1015625,0.1640625,0.078125,0.0234375,0.109375,0.0703125,0.1875,0.140625,0.96875
50,UNO,,None (final state),UNO,48955.28125,1439.6832275390625,0.4263250827789306,0.075649008154869,21301.015625,277520192.0,21695.291015625,46507.98828125,0.27504363656044,0.27504363656044,118547.921875,727.9556274414062,443.1195373535156,0.3675090968608856,0.3675090968608856,0.0252151824533939,0.974784791469574,1.002253540995298,0.09375,0.03125,0.1015625,0.1640625,0.1015625,0.0234375,0.109375,0.0703125,0.1875,0.1171875,0.96875
