Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
54,S,55.0,UNO,UNO-S,82094.1875,1978.91845703125,0.49369391798973083,0.00021344471315387636,30882.837890625,-70798848.0,49655.21484375,97593.0703125,-0.014609746634960175,0.024058129638433456,0.9759418964385986,0.016967167000984773,0.0859375,0.015625,0.1015625,0.109375,0.1328125,0.0078125,0.109375,0.0703125,0.28125,0.0859375,0.984375
55,UNO,56.0,S,UNO-S,82012.421875,1979.8668212890625,0.48877429962158203,0.0016752926167100668,30413.236328125,-201810496.0,49089.3125,100441.125,-0.04093033820390701,0.023766297847032547,0.976233720779419,0.009826916008023545,0.078125,0.015625,0.1015625,0.109375,0.1328125,0.0078125,0.1171875,0.0703125,0.28125,0.0859375,0.984375
56,S,57.0,UNO,UNO-S,81750.578125,1980.6756591796875,0.48438215255737305,0.00082341895904392,30953.24609375,-135117040.0,47849.01953125,98407.140625,-0.028695277869701385,0.023509010672569275,0.9764909744262695,0.01601366698741913,0.0703125,0.015625,0.1015625,0.109375,0.1328125,0.0078125,0.125,0.0703125,0.28125,0.0859375,0.984375
57,UNO,58.0,S,UNO-S,80686.0859375,1981.4205322265625,0.47487664222717285,1.549582157167606e-05,29701.68359375,17977752.0,45721.61328125,99886.65625,0.0039364732801914215,0.022855708375573158,0.9771443009376526,0.01048995801829733,0.0703125,0.0078125,0.1015625,0.109375,0.1328125,0.0078125,0.125,0.0703125,0.2890625,0.0859375,0.9921875
58,S,59.0,UNO,UNO-S,80474.25,1981.9920654296875,0.46658480167388916,0.0024061035364866257,31966.064453125,219032896.0,45896.78515625,97290.375,0.04905204847455025,0.02228391170501709,0.9777160882949829,0.015921332989819348,0.0703125,0.0078125,0.1015625,0.109375,0.1328125,0.0078125,0.125,0.0703125,0.2890625,0.0859375,0.9921875
59,UNO,60.0,S,UNO-S,79754.765625,1983.5452880859375,0.46987372636795044,0.0019921138882637024,29121.26953125,186405536.0,42941.0859375,97258.75,0.04463310167193413,0.022565213963389397,0.9774348139762878,0.009533124975860119,0.0703125,0.0078125,0.1015625,0.109375,0.1328125,0.0078125,0.125,0.0703125,0.2890625,0.0859375,0.9921875
60,S,61.0,UNO,UNO-S,79433.875,1984.7645263671875,0.4733591079711914,0.000618519086856395,29608.4921875,101808720.0,41590.66015625,98426.6328125,0.024870043620467186,0.022858306765556335,0.9771416783332825,0.018546750012319535,0.0703125,0.015625,0.1015625,0.109375,0.140625,0.0078125,0.1171875,0.0703125,0.28125,0.0859375,0.984375
61,UNO,62.0,S,UNO-S,78337.34375,1985.446044921875,0.4836655855178833,0.0010695559903979301,28726.66015625,129070824.0,40959.0390625,96355.515625,0.03270406648516655,0.02365008369088173,0.9763498902320862,0.010850457998458296,0.0625,0.0234375,0.1015625,0.109375,0.140625,0.0078125,0.1171875,0.0703125,0.2734375,0.09375,0.9765625
62,S,63.0,UNO,UNO-S,78105.7734375,1985.930419921875,0.49382221698760986,0.00014126386668067425,28678.185546875,-46618056.0,39967.92578125,98135.6875,-0.011885447427630424,0.02441965416073799,0.9755803346633911,0.015920500009087846,0.0625,0.0234375,0.1015625,0.1171875,0.140625,0.0078125,0.1171875,0.0703125,0.265625,0.09375,0.9765625
63,UNO,64.0,S,UNO-S,77841.6875,1986.24951171875,0.49962759017944336,0.0006088023656047881,28227.771484375,-92744416.0,38040.296875,98811.0859375,-0.02467392012476921,0.024861108511686325,0.9751389026641846,0.009335415990790352,0.0625,0.0234375,0.1015625,0.125,0.1328125,0.0078125,0.1171875,0.0703125,0.265625,0.09375,0.9765625
64,S,65.0,UNO,UNO-S,77271.171875,1986.3238525390625,0.5052133202552795,4.581331813824363e-05,28364.7890625,-26776332.0,40358.3515625,98021.6875,-0.006768553517758846,0.025280680507421494,0.9747193455696106,0.015516124985879287,0.0625,0.0234375,0.1015625,0.125,0.140625,0.0078125,0.1171875,0.0703125,0.265625,0.0859375,0.9765625
65,UNO,66.0,S,UNO-S,77140.296875,1986.2593994140625,0.508357048034668,0.0006542011979036033,28112.166015625,-92509152.0,37153.06640625,97349.625,-0.025577357038855553,0.0255185104906559,0.974481463432312,0.009843250008998439,0.0625,0.0234375,0.1015625,0.125,0.140625,0.0078125,0.1171875,0.0703125,0.265625,0.0859375,0.9765625
66,S,67.0,UNO,UNO-S,76585.265625,1986.123779296875,0.5112325549125671,0.001169971190392971,29113.173828125,-121942336.0,36734.75,97048.75,-0.034204840660095215,0.02573436126112938,0.9742656350135803,0.014787749998504296,0.0625,0.0234375,0.1015625,0.125,0.140625,0.0078125,0.1171875,0.0703125,0.265625,0.0859375,0.9765625
67,UNO,68.0,S,UNO-S,76347.2734375,1986.2620849609375,0.5016593933105469,0.000233900616876781,27690.029296875,53017600.0,36063.74609375,96124.4140625,0.015293809585273266,0.025039762258529663,0.974960207939148,0.010058374988147989,0.0625,0.0234375,0.1015625,0.125,0.140625,0.0078125,0.1171875,0.0703125,0.265625,0.0859375,0.9765625
68,S,69.0,UNO,UNO-S,76124.1640625,1986.296142578125,0.49293601512908936,0.0006786879966966808,28304.2890625,91104464.0,36212.640625,96570.453125,0.026051640510559082,0.024404160678386688,0.9755958318710327,0.014303250005468726,0.0625,0.0234375,0.1015625,0.125,0.140625,0.0078125,0.1171875,0.0703125,0.2734375,0.078125,0.9765625
