Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
38,51755.25,1444.623779296875,0.5414285659790039,0.0028725953307002,53202.746374627575,0.0108537673950195,0.3963722586631775,0.3984640538692474,0.109375,0.046875,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.1640625,0.125,37,UNO,96684.9140625,759.7554321289062,499.5286865234375,0.25475603342056274,0.25475603342056274,0.7452439665794373
39,53534.7421875,1437.72509765625,0.5616841316223145,0.0005838826764374,54973.05116783269,0.0100867748260498,0.3988990187644958,0.39398193359375,0.109375,0.046875,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0546875,0.1640625,0.125,38,UNO,97460.90625,773.1416015625,508.8480224609375,0.24773269891738892,0.24773269891738892,0.7522673010826111
40,51999.3203125,1422.2249755859375,0.5480374693870544,0.0215325020253658,53443.0777901113,0.0101330280303955,0.4037506580352783,0.4039281606674194,0.1171875,0.0390625,0.109375,0.1640625,0.0703125,0.0390625,0.109375,0.0625,0.171875,0.1171875,39,UNO,84029.015625,765.32666015625,474.9648132324219,0.23116442561149597,0.23116442561149597,0.7688355445861816
41,53240.109375,1431.087158203125,0.5230380296707153,0.0130695803090929,54684.26611351222,0.0101168155670166,0.4069885611534118,0.4037680029869079,0.1171875,0.03125,0.109375,0.1640625,0.0703125,0.0390625,0.109375,0.0625,0.1796875,0.1171875,40,UNO,80741.3671875,768.5445556640625,445.99005126953125,0.23556019365787506,0.23556019365787506,0.7644398212432861
42,51811.0390625,1417.963134765625,0.4828612804412842,0.0094162886962294,53238.418485961854,0.0100209712982177,0.4047579765319824,0.401918888092041,0.109375,0.0234375,0.109375,0.1640625,0.0703125,0.0390625,0.109375,0.0625,0.1953125,0.1171875,41,UNO,70063.9140625,756.278564453125,479.00469970703125,0.19340729713439941,0.19340729713439941,0.8065927028656006
43,56498.16796875,1422.34765625,0.4276533722877502,0.0144515400752425,57934.96716507524,0.00968599319458,0.4028213322162628,0.4256170094013214,0.109375,0.0234375,0.109375,0.1640625,0.0703125,0.0390625,0.109375,0.0625,0.1953125,0.1171875,42,UNO,60697.01171875,733.235107421875,467.3678894042969,0.17711900174617767,0.17711900174617767,0.8228809833526611
44,53565.75,1436.05029296875,0.3969675302505493,0.0090984301641583,55010.89872313291,0.0098679065704345,0.403627336025238,0.4229239821434021,0.109375,0.0234375,0.109375,0.1640625,0.0703125,0.03125,0.109375,0.0625,0.203125,0.1171875,43,UNO,54917.37109375,682.7900390625,524.5128784179688,0.15334387123584747,0.15334387123584747,0.8466561436653137
45,52895.5078125,1413.673095703125,0.3772082328796386,0.0433622859418392,54352.54319414496,0.0098376274108886,0.4028843641281128,0.3957069814205169,0.109375,0.0234375,0.109375,0.1640625,0.0703125,0.03125,0.109375,0.0625,0.203125,0.1171875,44,UNO,59923.50390625,680.3431396484375,506.5542907714844,0.17387743294239044,0.17387743294239044,0.8261225819587708
46,52530.4375,1401.7276611328125,0.355915904045105,0.0684004798531532,54000.565640985966,0.0101990699768066,0.3995741605758667,0.3926828801631927,0.109375,0.015625,0.109375,0.171875,0.0703125,0.03125,0.109375,0.0625,0.203125,0.1171875,45,UNO,67185.8984375,690.0014038085938,571.1298828125,0.17048777639865875,0.17048777639865875,0.8295122385025024
47,52841.7421875,1400.4722900390625,0.3503251373767853,0.0823002085089683,54324.51468604803,0.010012149810791,0.3951967060565948,0.38241907954216,0.109375,0.015625,0.109375,0.171875,0.0703125,0.03125,0.109375,0.0625,0.203125,0.1171875,46,UNO,83898.890625,718.7445068359375,599.3202514648438,0.19477030634880066,0.19477030634880066,0.805229663848877
48,54644.0703125,1409.639892578125,0.3505115211009979,0.0934770330786705,56147.1872381568,0.0098781585693359,0.3889940977096557,0.3809354305267334,0.109375,0.015625,0.109375,0.171875,0.0859375,0.03125,0.1015625,0.0625,0.1953125,0.1171875,47,UNO,99113.5546875,735.7352294921875,627.937744140625,0.21453343331813812,0.21453343331813812,0.7854665517807007
49,55563.65234375,1411.854248046875,0.3382124900817871,0.0144547754898667,56989.96136728674,0.0101840496063232,0.3821107745170593,0.3812222182750702,0.109375,0.015625,0.109375,0.171875,0.0859375,0.03125,0.1015625,0.0625,0.1953125,0.1171875,48,UNO,88919.796875,699.2339477539062,587.670166015625,0.21639254689216614,0.21639254689216614,0.7836074829101562
50,54071.703125,1425.2021484375,0.3184586465358734,0.049075461924076,55545.980735361576,0.0101940631866455,0.3771360218524933,0.3712459504604339,0.109375,0.015625,0.109375,0.171875,0.0859375,0.0390625,0.1015625,0.0625,0.1875,0.1171875,49,UNO,83599.8984375,699.4824829101562,550.352783203125,0.21716390550136566,0.21716390550136566,0.7828360795974731
51,55656.96875,1416.33056640625,0.2996752858161926,0.0019824143964797,57075.28173080273,0.0100629329681396,0.374361515045166,0.3674823939800262,0.109375,0.015625,0.109375,0.171875,0.078125,0.046875,0.109375,0.0625,0.1796875,0.1171875,50,UNO,77592.78125,713.4169921875,530.99755859375,0.20482607185840607,0.20482607185840607,0.7951739430427551
52,54929.66796875,1431.417724609375,0.2989519834518432,0.0549891740083694,56416.074867367744,0.0098333358764648,0.3754583895206451,0.3649414777755737,0.109375,0.015625,0.109375,0.171875,0.078125,0.046875,0.109375,0.0625,0.1875,0.109375,51,UNO,76400.15625,735.57666015625,533.633544921875,0.19463595747947693,0.19463595747947693,0.8053640127182007
53,42553.89453125,1200.718505859375,0.2950448393821716,0.0434252992272377,43798.03833633661,0.0571212768554687,0.3769530951976776,0.3703537583351135,0.109375,0.015625,0.109375,0.171875,0.078125,0.046875,0.109375,0.0625,0.1875,0.109375,52,UNO,78075.5546875,701.865478515625,550.9567260742188,0.20190343260765076,0.20190343260765076,0.7980965375900269
